,Favs,RTs,Followers,Following,Listed,likes,tweets,Word Count,Tweet Id,User Name,result
1030,22.0,7.0,827.0,967.0,71.0,851.0,87499.0,25.0,1.0381951813114798e+18,Anita R. Walz,-15089.947477758431
1031,0.0,152.0,477.0,617.0,1.0,195.0,66415.0,14.0,1.0386859300920934e+18,Noah Centineo,-11300.420244245182
1032,0.0,0.0,4605.0,4761.0,42.0,4.0,87499.0,17.0,1.0372721475368264e+18,MN Socal Svc Jobs,-14940.270940108521
1033,0.0,0.0,229.0,245.0,9.0,863.0,3651.0,35.0,1.0399309247780946e+18,LaurentianYouthREX,-935.3173821157369
1034,0.0,0.0,2199.0,1436.0,408.0,3010.0,124578.0,17.0,1.0372796135741522e+18,Steve Woods,-22248.679325589495
1035,0.0,0.0,16.0,56.0,0.0,851.0,87499.0,33.0,1.0372325218328494e+18,Alayer,-15091.771398444875
1036,0.0,1.0,2238.0,1136.0,125.0,286.0,20154.0,16.0,8.804666084344462e+17,Rajiv Jhangiani,-3739.8370432597994
1037,0.0,0.0,251.0,1.0,22.0,4.0,885.0,16.0,1.0391244953598607e+18,My AI Reading List,-194.37079651262792
1038,0.0,0.0,107.0,85.0,5.0,189.0,12015.0,9.0,1.0398439173263729e+18,Rebecca Lopez,-2105.577131656788
1039,0.0,0.0,638.0,862.0,7.0,447.0,403.0,21.0,1.037116951951233e+18,Kenneth Leong,-219.56265515145034
1040,0.0,0.0,7575.0,8520.0,487.0,901.0,952.0,17.0,1.0341108974662899e+18,Curriki,-518.4954043569243
1041,0.0,0.0,56.0,0.0,11.0,1559.0,99587.0,2.0,1.0369205666267585e+18,Jalandhar Online,-17405.260959801657
1042,1.0,0.0,4017.0,737.0,127.0,3688.0,125698.0,38.0,1.0352873184862451e+18,CNM,-23225.988810938306
1043,0.0,0.0,779.0,395.0,13.0,189.0,12015.0,34.0,1.0372662017879409e+18,Youth Work Unit Y&H,-2187.6309566683362
1044,0.0,0.0,153.0,280.0,4.0,224.0,18542.0,39.0,1.0372421861595832e+18,Carina Kern,-3200.714444725516
1045,0.0,0.0,80.0,228.0,1.0,1025.0,99625.0,19.0,1.0372578583484498e+18,Debbie Price,-17189.611778023675
1046,1.0,1.0,1338.0,838.0,25.0,415.0,13520.0,48.0,1.0372881355610153e+18,Bognor Rugby Club,-2561.9589332098126
1047,5.0,0.0,1770.0,1154.0,27.0,10000.0,154893.0,39.0,1.0338885079520297e+18,Amphibian Foundation,-29973.273151441826
1048,7.0,3.0,762.0,540.0,50.0,1031.0,94002.0,36.0,1.0380882426780056e+18,Liesel Knaack,-16314.204563982255
1049,0.0,11.0,3009.0,964.0,162.0,669.0,70154.0,15.0,8.798042284406004e+17,Lawrie Phipps,-12498.642693583193
1050,0.0,3.0,634.0,635.0,17.0,738.0,84522.0,5.0,8.78697975165272e+17,Carolyn Ives,-14573.90987541405
1051,0.0,14.0,1475.0,800.0,61.0,1426.0,98741.0,20.0,1.0397785643910226e+18,Deborah Woodcock,-17355.91167942899
1052,0.0,1.0,725.0,123.0,22.0,57.0,336.0,43.0,1.0368661674517464e+18,COT Open Education,-195.52257466132832
1053,0.0,0.0,131.0,199.0,2.0,4418.0,126978.0,19.0,1.0372631865951314e+18,Lernhacks,-23059.896498426035
1054,0.0,0.0,825.0,1228.0,6.0,280.0,64515.0,22.0,1.0371865814744924e+18,Shawn LeFebvre,-10974.081052347074
1055,0.0,0.0,1853.0,1916.0,213.0,15867.0,216548.0,8.0,1.03725854469999e+18,humberto maia,-42373.32097328442
1056,4.0,1.0,24367.0,4634.0,749.0,678.0,6610.0,32.0,1.039840553469399e+18,Social Inv Business,-5235.787234835166
1057,4.0,6.0,179.0,74.0,1.0,241.0,8500.0,22.0,1.0399197488829152e+18,Team Niall,-1547.7901427632257
1058,0.0,0.0,690.0,2061.0,37.0,977.0,90014.0,1.0,1.0370729158359776e+18,Van Aggson,-15371.626311583494
1059,0.0,4.0,634.0,477.0,56.0,869.0,87499.0,17.0,8.78106749630206e+17,Manfred Schulz,-15139.261031677055
1060,5.0,7.0,4542.0,560.0,112.0,658.0,65218.0,20.0,1.037258816570712e+18,Oxford Preservation,-12038.185098614356
1061,5.0,1.0,960.0,1149.0,32.0,8.0,3651.0,1.0,1.0369955339304591e+18,Alison Flynn,-620.4655443622996
1062,0.0,0.0,203.0,7.0,131.0,43.0,1147.0,23.0,1.0346842444743844e+18,Tom,-213.70602929324016
1063,1.0,0.0,600.0,149.0,37.0,13.0,8895.0,1.0,1.0369338514975539e+18,Edinburgh Univ OERs,-1592.6976910237004
1064,0.0,0.0,931.0,798.0,9.0,22.0,90014.0,21.0,1.0371840491886633e+18,Allehone Abebe,-15277.046455359767
1065,0.0,0.0,430.0,781.0,27.0,261.0,124578.0,44.0,1.039861262832816e+18,FSTP.co.uk,-21105.11846321724
